E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
dctR; two-component system, LuxR family, response regulator DctR
PGTB1; geranylgeranyl transferase type-1 subunit beta [EC:2.5.1.59]
RGXT; rhamnogalacturonan II specific xylosyltransferase [EC:2.4.2.-]
CDK5R1; cyclin-dependent kinase 5 activator 1
sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]
HUGT; UDP-glucose:glycoprotein glucosyltransferase [EC:2.4.1.-]
lptC; lipopolysaccharide export system protein LptC
lptG; lipopolysaccharide export system permease protein
BRD3; bromodomain-containing protein 3
BRD4; bromodomain-containing protein 4
BRD7; bromodomain-containing protein 7
BRDT; bromodomain testis-specific protein
LHPP; phospholysine phosphohistidine inorganic pyrophosphate phosphatase [EC:3.6.1.1 3.1.3.-]
NURF38; nucleosome-remodeling factor 38 kDa subunit [EC:3.6.1.1]
SMARCA1, SNF2L; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1 [EC:3.6.4.-]
BPTF, E(bx); nucleosome-remodeling factor subunit BPTF
ACAD10; acyl-CoA dehydrogenase family member 10
ACAD11; acyl-CoA dehydrogenase family member 11
atuD; citronellyl-CoA dehydrogenase [EC:1.3.99.-]
pheP; phenylalanine-specific permease
lysP; lysine-specific permease
aroP; aromatic amino acid transport protein AroP
gabP; GABA permease
proY; proline-specific permease ProY
cycA; D-serine/D-alanine/glycine transporter
ansP; L-asparagine permease
nfrA; bacteriophage N4 adsorption protein A
nfrB; bacteriophage N4 adsorption protein B
sugE; quaternary ammonium compound-resistance protein SugE
mdtI; spermidine export protein MdtI
mdtJ; spermidine export protein MdtJ
tqsA; AI-2 transport protein TqsA
kefC; glutathione-regulated potassium-efflux system ancillary protein KefC
kefF; glutathione-regulated potassium-efflux system ancillary protein KefF
kefB; glutathione-regulated potassium-efflux system protein KefB
kefG; glutathione-regulated potassium-efflux system ancillary protein KefG
rseP; regulator of sigma E protease [EC:3.4.24.-]
frsA; esterase FrsA [EC:3.1.-.-]
ushA; 5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]
ribD; diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]
ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]
folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]
hisIE; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]
PBRM1, PB1; protein polybromo-1
ARID2; AT-rich interactive domain-containing protein 2
SWI1, ADR6; SWI/SNF chromatin-remodeling complex subunit SWI1
K11777; HAD superfamily phosphatase
DHDDS, RER2, SRT1; ditrans,polycis-polyprenyl diphosphate synthase [EC:2.5.1.87]
fbiC; FO synthase [EC:2.5.1.77]
cofG; FO synthase subunit 1 [EC:2.5.1.77]
cofH; FO synthase subunit 2 [EC:2.5.1.77]
mqnA; chorismate dehydratase [EC:4.2.1.151]
mqnB; futalosine hydrolase [EC:3.2.2.26]
mqnC; cyclic dehypoxanthinyl futalosine synthase [EC:1.21.98.1]
mqnD; 1,4-dihydroxy-6-naphthoate synthase [EC:1.14.-.-]
STH1_SNF2; ATP-dependent helicase STH1/SNF2 [EC:3.6.4.-]
GART; phosphoribosylamine--glycine ligase / phosphoribosylglycinamide formyltransferase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 2.1.2.2 6.3.3.1]
ADE5; phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 6.3.3.1]
VPRBP, DCAF1; HIV-1 Vpr-binding protein
DTL, CDT2, DCAF2; denticleless
DCAF15; DDB1- and CUL4-associated factor 15
DDA1; DET1- and DDB1-associated protein 1
CRBN; cereblon
IQWD1, NRIP, ARCAP; nuclear receptor interaction protein
TRPC4AP; Trpc4-associated protein
PHIP, WDR11; PH-interacting protein
BRWD1_3; bromodomain and WD repeat domain containing protein 1/3
WDR21A; WD repeat-containing protein 21A
WDR22, BCRP2; WD repeat-containing protein 22
WDR23; WD repeat-containing protein 23
WDR32; WD repeat-containing protein 32
WDR40A; WD repeat-containing protein 40A
WDR42A; WD repeat-containing protein 42A
WDR68, HAN11; WD repeat-containing protein 68
WDSOF1; WD repeat and SOF domain-containing protein 1
WDTC1; WD and tetratricopeptide repeats protein 1
ADE2; phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21]
arsH; arsenical resistance protein ArsH
ebrA; multidrug resistance protein EbrA
ebrB; multidrug resistance protein EbrB
YUCCA; indole-3-pyruvate monooxygenase [EC:1.14.13.168]
AAO1_2; indole-3-acetaldehyde oxidase [EC:1.2.3.7]
UGT74B1; N-hydroxythioamide S-beta-glucosyltransferase [EC:2.4.1.195]
SULT2A1; bile-salt sulfotransferase [EC:2.8.2.14]
AP2A; AP-2 complex subunit alpha
AP2M1; AP-2 complex subunit mu-1
AP2S1; AP-2 complex subunit sigma-1
TFAM, MTTFA; transcription factor A, mitochondrial
NRF1; nuclear respiratory factor 1
USP1; ubiquitin carboxyl-terminal hydrolase 1 [EC:3.4.19.12]
USP2; ubiquitin carboxyl-terminal hydrolase 2 [EC:3.4.19.12]
USP4_11, UBP12; ubiquitin carboxyl-terminal hydrolase 4/11 [EC:3.4.19.12]
USP5_13, UBP14; ubiquitin carboxyl-terminal hydrolase 5/13 [EC:3.4.19.12]
USP6_32; ubiquitin carboxyl-terminal hydrolase 6/32 [EC:3.4.19.12]
USP7, UBP15; ubiquitin carboxyl-terminal hydrolase 7 [EC:3.4.19.12]
USP8, UBP5; ubiquitin carboxyl-terminal hydrolase 8 [EC:3.4.19.12]
USP9_24; ubiquitin carboxyl-terminal hydrolase 9/24 [EC:3.4.19.12]
USP10, UBP3; ubiquitin carboxyl-terminal hydrolase 10 [EC:3.4.19.12]
USP12_46; ubiquitin carboxyl-terminal hydrolase 12/46 [EC:3.4.19.12]
USP14, UBP6; ubiquitin carboxyl-terminal hydrolase 14 [EC:3.4.19.12]
USP16_45; ubiquitin carboxyl-terminal hydrolase 16/45 [EC:3.4.19.12]
USP20_33; ubiquitin carboxyl-terminal hydrolase 20/33 [EC:3.4.19.12]
USP26_29_37; ubiquitin carboxyl-terminal hydrolase 26/29/37 [EC:3.4.19.12]
USP30; ubiquitin carboxyl-terminal hydrolase 30 [EC:3.4.19.12]
USP31; ubiquitin carboxyl-terminal hydrolase 31 [EC:3.4.19.12]
USP34; ubiquitin carboxyl-terminal hydrolase 34 [EC:3.4.19.12]
USP35_38; ubiquitin carboxyl-terminal hydrolase 35/38 [EC:3.4.19.12]
USP36_42; ubiquitin carboxyl-terminal hydrolase 36/42 [EC:3.4.19.12]
USP47; ubiquitin carboxyl-terminal hydrolase 47 [EC:3.4.19.12]
USP48; ubiquitin carboxyl-terminal hydrolase 48 [EC:3.4.19.12]
OTUD7A_B; OTU domain-containing protein 7 [EC:3.4.19.12]
ZRANB1, TRABID; ubiquitin thioesterase ZRANB1 [EC:3.4.19.12]
ATXN3, MJD; Ataxin-3 [EC:3.4.22.-]
BRCC3, BRCC36; BRCA1/BRCA2-containing complex subunit 3 [EC:3.4.19.-]
MYSM1; protein MYSM1
STAMBP, AMSH; STAM-binding protein [EC:3.4.19.12]
UBP1; ubiquitin carboxyl-terminal hydrolase 1 [EC:3.4.19.12]
UBP10; ubiquitin carboxyl-terminal hydrolase 10 [EC:3.4.19.12]
UBP16; ubiquitin carboxyl-terminal hydrolase 16 [EC:3.4.19.12]
PSMG2, PAC2; proteasome assembly chaperone 2
PSMG3, PAC3; proteasome assembly chaperone 3
PSMG4, PAC4; proteasome assembly chaperone 4
NOB1; RNA-binding protein NOB1
PNO1, DIM2; RNA-binding protein PNO1
DDI1; DNA damage-inducible protein 1
ECM29; proteasome component ECM29
PAAF1, RPN14; proteasomal ATPase-associated factor 1
impN; type VI secretion system protein ImpN [EC:2.7.11.1]
impM; type VI secretion system protein ImpM
impL, vasK, icmF; type VI secretion system protein ImpL
impK, ompA, vasF, dotU; type VI secretion system protein ImpK
impJ, vasE; type VI secretion system protein ImpJ
impI, vasC; type VI secretion system protein ImpI
impH, vasB; type VI secretion system protein ImpH
impG, vasA; type VI secretion system protein ImpG
impF; type VI secretion system protein ImpF
impE; type VI secretion system protein ImpE
impD; type VI secretion system protein ImpD
impC; type VI secretion system protein ImpC
impB; type VI secretion system protein ImpB
impA; type VI secretion system protein ImpA
hcp; type VI secretion system secreted protein Hcp
vgrG; type VI secretion system secreted protein VgrG
K11905; type VI secretion system protein
vasD, lip; type VI secretion system protein VasD
vasG, clpV; type VI secretion system protein VasG
vasH; sigma-54 dependent transcriptional regulator
vasI; type VI secretion system protein VasI
vasJ; type VI secretion system protein VasJ
vasL; type VI secretion system protein VasL
ppkA; serine/threonine-protein kinase PpkA [EC:2.7.11.1]
fha1; type VI secretion system protein
sfa2; sigma-54 dependent transcriptional regulator
stp1, pppA; serine/threonine protein phosphatase Stp1 [EC:3.1.3.16]
stk1; serine/threonine-protein kinase Stk1 [EC:2.7.11.-]
sfa3; sigma-54 dependent transcriptional regulator
lip3; type VI secretion system protein
hsiF3; type VI secretion system lysozyme-related protein
envY; AraC family transcriptional regulator
cynR; LysR family transcriptional regulator, cyn operon transcriptional activator
mngR, farR; GntR family transcriptional regulator, mannosyl-D-glycerate transport/metabolism system repressor
cueR; MerR family transcriptional regulator, copper efflux regulator
mntR; DtxR family transcriptional regulator, manganese transport regulator
sgrR; SgrR family transcriptional regulator
crl; sigma factor-binding protein Crl
rhlE; ATP-dependent RNA helicase RhlE [EC:3.6.4.13]
putP; sodium/proline symporter
phoE; outer membrane pore protein E
torT; periplasmic protein TorT
pgaB; poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]
uspG; universal stress protein G
hcr; NADH oxidoreductase Hcr [EC:1.-.-.-]
ompX; outer membrane protein X
pgaA; biofilm PGA synthesis protein PgaA
pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]
pgaD; biofilm PGA synthesis protein PgaD
cof; HMP-PP phosphatase [EC:3.6.1.-]
rhtA; inner membrane transporter RhtA
hspQ; heat shock protein HspQ
mdoC; glucans biosynthesis protein C [EC:2.1.-.-]
icmF; isobutyryl-CoA mutase [EC:5.4.99.13]
nidA; PAH dioxygenase large subunit [EC:1.13.11.-]
nidB; PAH dioxygenase small subunit [EC:1.13.11.-]
phdF; extradiol dioxygenase [EC:1.13.11.-]
phdG; hydratase-aldolase [EC:4.1.2.-]
nidD; aldehyde dehydrogenase [EC:1.2.1.-]
phdI; 1-hydroxy-2-naphthoate dioxygenase [EC:1.13.11.38]
phdJ; 4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase [EC:4.1.2.34]
cmpA; bicarbonate transport system substrate-binding protein
cmpB; bicarbonate transport system permease protein
cmpC; bicarbonate transport system ATP-binding protein [EC:3.6.3.-]
cmpD; bicarbonate transport system ATP-binding protein [EC:3.6.3.-]
K11954, natB; neutral amino acid transport system substrate-binding protein
natC; neutral amino acid transport system permease protein
natD; neutral amino acid transport system permease protein
K11957, natA; neutral amino acid transport system ATP-binding protein
natE; neutral amino acid transport system ATP-binding protein
urtA; urea transport system substrate-binding protein
urtB; urea transport system permease protein
urtC; urea transport system permease protein
urtD; urea transport system ATP-binding protein
urtE; urea transport system ATP-binding protein
PELI; pellino [EC:2.3.2.27]
ANKIB1; ankyrin repeat and IBR domain-containing protein 1 [EC:2.3.2.31]
ARIH1; ariadne-1 [EC:2.3.2.31]
ARIH2; ariadne-2 [EC:2.3.2.31]
RNF14, ARA54; E3 ubiquitin-protein ligase RNF14 [EC:2.3.2.31]
RNF19A; E3 ubiquitin-protein ligase RNF19A [EC:2.3.2.31]
RNF31, HOIP; E3 ubiquitin-protein ligase RNF31 [EC:2.3.2.31]
RNF144; E3 ubiquitin-protein ligase RNF144 [EC:2.3.2.31]
RNF216, TRIAD3; E3 ubiquitin-protein ligase RNF216 [EC:2.3.2.31]
UBR3; E3 ubiquitin-protein ligase UBR3 [EC:2.3.2.27]
UBR7; E3 ubiquitin-protein ligase UBR7 [EC:2.3.2.27]
RNF41, NRDP1; E3 ubiquitin-protein ligase NRDP1 [EC:2.3.2.27]
RNF115_126; E3 ubiquitin-protein ligase RNF115/126 [EC:2.3.2.27]
SART1, HAF, SNU66; U4/U6.U5 tri-snRNP-associated protein 1
TRAIP, TRIP; TRAF-interacting protein [EC:2.3.2.27]
USP3; ubiquitin carboxyl-terminal hydrolase 3 [EC:3.4.19.12]
PTGS2, COX2; prostaglandin-endoperoxide synthase 2 [EC:1.14.99.1]
IHH; indian hedgehog
tadA; tRNA(adenine34) deaminase [EC:3.5.4.33]
DNASE1; deoxyribonuclease-1 [EC:3.1.21.1]
DNASE1L; deoxyribonuclease-1-like protein [EC:3.1.21.-]
MOCS3, UBA4; adenylyltransferase and sulfurtransferase [EC:2.7.7.80 2.8.1.11]
TRIM2_3; tripartite motif-containing protein 2/3
TRIM44; tripartite motif-containing protein 44
TRIM45; tripartite motif-containing protein 45
TRIM46; tripartite motif-containing protein 46
TRIM58; tripartite motif-containing protein 58 [EC:2.3.2.27]
TRIM71; tripartite motif-containing protein 71 [EC:2.3.2.27]
SLC9A3, NHE3; solute carrier family 9 (sodium/hydrogen exchanger), member 3
SLC9A6_7, NHE6_7; solute carrier family 9 (sodium/hydrogen exchanger), member 6/7
TNNC2; troponin C, skeletal muscle
TNNI2; troponin I, fast skeletal muscle
TNNT3; troponin T, fast skeletal muscle
MGAM; maltase-glucoamylase [EC:3.2.1.20 3.2.1.3]
comB10; ComB10 competence protein
comB9; ComB9 competence protein
comB8; ComB8 competence protein
comB7; ComB7 competence protein
comB6; ComB6 competence protein
comB4; ComB4 competence protein
K12055, parA; chromosome partitioning related protein ParA
traG; conjugal transfer mating pair stabilization protein TraG
traF; conjugal transfer pilus assembly protein TraF
traN; conjugal transfer mating pair stabilization protein TraN
trbC; conjugal transfer pilus assembly protein TrbC
traU; conjugal transfer pilus assembly protein TraU
traW; conjugal transfer pilus assembly protein TraW
trbI; conjugal transfer pilin signal peptidase TrbI
traC; conjugal transfer ATP-binding protein TraC
traV; conjugal transfer pilus assembly protein TraV
traB; conjugal transfer pilus assembly protein TraB
traK; conjugal transfer pilus assembly protein TraK
traE; conjugal transfer pilus assembly protein TraE
traL; conjugal transfer pilus assembly protein TraL
traA; conjugal transfer pilus assembly protein TraA
traI; conjugal transfer pilus assembly protein TraI
traD; conjugal transfer pilus assembly protein TraD
traH; conjugative transfer pilus assembly protein TraH
E3.1.2.28; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]
TIM; timeless
DLG1; disks large protein 1
ptlA; type IV secretion system protein PtlA
ptlB; type IV secretion system protein PtlB
ptlC; type IV secretion system protein PtlC
ptlE; type IV secretion system protein PtlE
ptlG; type IV secretion system protein PtlG
ptlH; type IV secretion system protein PtlH
ptlD; type IV secretion system protein PtlD
ptlF; type IV secretion system protein PtlF
cag1; cag pathogenicity island protein 1
cag2; cag pathogenicity island protein 2
cag3; cag pathogenicity island protein 3
cag4; cag pathogenicity island protein 4
cag5; cag pathogenicity island protein 5
cag6; cag pathogenicity island protein 6
cag7; cag pathogenicity island protein 7
cag8; cag pathogenicity island protein 8
cag9; cag pathogenicity island protein 9
cag10; cag pathogenicity island protein 10
cag11; cag pathogenicity island protein 11
cag12; cag pathogenicity island protein 12
cag13; cag pathogenicity island protein 13
cag14; cag pathogenicity island protein 14
cag15; cag pathogenicity island protein 15
cag16; cag pathogenicity island protein 16
cag17; cag pathogenicity island protein 17
cag18; cag pathogenicity island protein 18
cag19; cag pathogenicity island protein 19
cag20; cag pathogenicity island protein 20
cag21; cag pathogenicity island protein 21
cag22; cag pathogenicity island protein 22
cag23; cag pathogenicity island protein 23
cag24; cag pathogenicity island protein 24
cag25; cag pathogenicity island protein 25
ebgA; evolved beta-galactosidase subunit alpha [EC:3.2.1.23]
ebgC; evolved beta-galactosidase subunit beta
ebgR; LacI family transcriptional regulator, ebg operon repressor
VRI; vrille
ZTL; clock-associated PAS protein ZTL
FKF1; flavin-binding kelch repeat F-box protein 1
CRY1; cryptochrome 1
CRY2; cryptochrome 2
PHYA; phytochrome A
PHYB; phytochrome B
PHYE; phytochrome E
GI; GIGANTEA
ELF3; protein EARLY FLOWERING 3
PIF3; phytochrome-interacting factor 3
TOC1, APRR1; pseudo-response regulator 1
PRR7; pseudo-response regulator 7
PRR5; pseudo-response regulator 5
PRR3; pseudo-response regulator 3
LHY; MYB-related transcription factor LHY
hyfA; hydrogenase-4 component A [EC:1.-.-.-]
hyfB; hydrogenase-4 component B [EC:1.-.-.-]
hyfC; hydrogenase-4 component C [EC:1.-.-.-]
hyfD; hydrogenase-4 component D [EC:1.-.-.-]
hyfE; hydrogenase-4 component E [EC:1.-.-.-]
hyfF; hydrogenase-4 component F [EC:1.-.-.-]
hyfG; hydrogenase-4 component G [EC:1.-.-.-]
hyfH; hydrogenase-4 component H
hyfI; hydrogenase-4 component I [EC:1.-.-.-]
hyfJ; hydrogenase-4 component J [EC:1.-.-.-]
hyfR; hydrogenase-4 transcriptional activator
msyB; acidic protein MsyB
bssS; biofilm regulator BssS
dinI; DNA-damage-inducible protein I
bhsA; multiple stress resistance protein BhsA
nudJ; phosphatase NudJ [EC:3.6.1.-]
CYP79A2; phenylalanine N-monooxygenase [EC:1.14.14.40]
NEDD8; ubiquitin-like protein Nedd8
SUMO, SMT3; small ubiquitin-related modifier
URM1; ubiquitin related modifier 1
UFM1; ubiquitin-fold modifier 1
UBA5, UBE1DC1; ubiquitin-like modifier-activating enzyme 5
UFC1; ufm1-conjugating enzyme 1
HECW2; E3 ubiquitin-protein ligase HECW2 [EC:2.3.2.26]
KPC1, RNF123; Kip1 ubiquitination-promoting complex protein 1 [EC:2.3.2.27]
SH3RF, POSH; E3 ubiquitin-protein ligase SH3RF [EC:2.3.2.27]
RANBP2, NUP358; E3 SUMO-protein ligase RanBP2
BRE, BRCC45; BRCA1-A complex subunit BRE
KPC2, UBAC1; Kip1 ubiquitination-promoting complex protein 2
GPS1, COPS1, CSN1; COP9 signalosome complex subunit 1
COPS2, CSN2, TRIP15; COP9 signalosome complex subunit 2
COPS3, CSN3; COP9 signalosome complex subunit 3
COPS4, CSN4; COP9 signalosome complex subunit 4
COPS6, CSN6; COP9 signalosome complex subunit 6
COPS7, CSN7; COP9 signalosome complex subunit 7
COPS8, CSN8; COP9 signalosome complex subunit 8
HGS, HRS, VPS27; hepatocyte growth factor-regulated tyrosine kinase substrate
TSG101, STP22, VPS23; ESCRT-I complex subunit TSG101
VPS28; ESCRT-I complex subunit VPS28
VPS37; ESCRT-I complex subunit VPS37
FAM125; ESCRT-I complex subunit MVB12
SNF8, EAP30; ESCRT-II complex subunit VPS22
VPS25, EAP20; ESCRT-II complex subunit VPS25
VPS36, EAP45; ESCRT-II complex subunit VPS36
CHMP2A; charged multivesicular body protein 2A
CHMP2B; charged multivesicular body protein 2B
VPS24, CHMP3; charged multivesicular body protein 3
CHMP4, SNF7, VPS32; charged multivesicular body protein 4
CHMP6, VPS20; charged multivesicular body protein 6
VPS4; vacuolar protein-sorting-associated protein 4
CHMP1, VPS46, DID2; charged multivesicular body protein 1
CHMP5, VPS60; charged multivesicular body protein 5
VTA1, LIP5; vacuolar protein sorting-associated protein VTA1
PDCD6IP, ALIX, RIM20; programmed cell death 6-interacting protein
dotA; defect in organelle trafficking protein DotA
dotB, traJ; defect in organelle trafficking protein DotB
dotC, traI; defect in organelle trafficking protein DotC
dotD, traH; defect in organelle trafficking protein DotD
